#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACVRL1	TGFBR2	9606.ENSP00000373574	9606.ENSP00000351905	0	0	0	0.751	0.155	0.528	0.800	0.916	0.992
ACVRL1	CLEC14A	9606.ENSP00000373574	9606.ENSP00000353013	0	0	0	0	0.344	0.098	0	0.289	0.542
ACVRL1	EGFL7	9606.ENSP00000373574	9606.ENSP00000360764	0	0	0	0	0.175	0.098	0	0.282	0.419
ACVRL1	ENG	9606.ENSP00000373574	9606.ENSP00000362299	0	0	0	0	0.274	0.738	0	0.997	0.999
ACVRL1	NOTCH4	9606.ENSP00000373574	9606.ENSP00000364163	0	0	0	0	0.228	0.098	0	0.250	0.432
ACVRL1	ID1	9606.ENSP00000373574	9606.ENSP00000365280	0	0	0	0	0.049	0	0	0.552	0.555
ACVRL1	SMAD9	9606.ENSP00000373574	9606.ENSP00000369154	0	0	0	0	0.077	0.126	0	0.897	0.910
ACVRL1	TEK	9606.ENSP00000373574	9606.ENSP00000369375	0	0	0	0.571	0.195	0.074	0	0.268	0.407
ACVRL1	NR4A1	9606.ENSP00000373574	9606.ENSP00000440864	0	0	0	0	0.042	0.045	0	0.432	0.434
ACVRL1	PECAM1	9606.ENSP00000373574	9606.ENSP00000457421	0	0	0	0	0.178	0.081	0	0.328	0.448
ACVRL1	EFNB2	9606.ENSP00000373574	9606.ENSP00000493716	0	0	0	0	0.069	0.098	0	0.402	0.454
ACVRL1	CDH5	9606.ENSP00000373574	9606.ENSP00000497290	0	0	0	0	0.227	0.095	0	0.628	0.717
ADAM22	ADAM23	9606.ENSP00000265727	9606.ENSP00000264377	0	0	0.056	0.923	0.085	0.126	0.400	0.896	0.944
ADAM22	FAM162B	9606.ENSP00000265727	9606.ENSP00000357545	0	0	0	0	0	0	0	0.417	0.417
ADAM22	RUNDC3B	9606.ENSP00000265727	9606.ENSP00000337732	0	0	0	0	0.083	0	0	0.492	0.514
ADAM22	THBD	9606.ENSP00000265727	9606.ENSP00000366307	0	0	0	0	0	0.045	0	0.581	0.582
ADAM22	KCNA1	9606.ENSP00000265727	9606.ENSP00000371985	0	0	0	0	0.161	0	0	0.823	0.845
ADAM22	DLG2	9606.ENSP00000265727	9606.ENSP00000365272	0	0	0	0	0.116	0.091	0	0.899	0.912
ADAM22	LGI4	9606.ENSP00000265727	9606.ENSP00000312273	0	0	0	0	0.086	0	0.500	0.886	0.943
ADAM23	CDKN1C	9606.ENSP00000264377	9606.ENSP00000413720	0	0	0	0	0	0	0	0.433	0.433
ADAM23	PRDM5	9606.ENSP00000264377	9606.ENSP00000264808	0	0	0	0	0	0	0	0.514	0.514
ADAM23	DLG2	9606.ENSP00000264377	9606.ENSP00000365272	0	0	0	0	0.087	0.091	0	0.500	0.549
ADAM23	KCNA1	9606.ENSP00000264377	9606.ENSP00000371985	0	0	0	0	0.117	0	0	0.692	0.716
ADAM23	LGI4	9606.ENSP00000264377	9606.ENSP00000312273	0	0	0	0	0.080	0	0.500	0.590	0.795
ADAM33	MS4A2	9606.ENSP00000348912	9606.ENSP00000278888	0	0	0	0	0.048	0	0	0.447	0.451
ADAM33	TSLP	9606.ENSP00000348912	9606.ENSP00000339804	0	0	0	0	0	0	0	0.418	0.418
ADAM33	FCER1A	9606.ENSP00000348912	9606.ENSP00000357097	0	0	0	0	0	0	0	0.513	0.513
ADAMTS1	SYNPO2	9606.ENSP00000284984	9606.ENSP00000306015	0	0	0	0	0.062	0	0	0.388	0.401
ADAMTS1	ADAMTS5	9606.ENSP00000284984	9606.ENSP00000284987	0	0	0.082	0.900	0.129	0	0	0.428	0.503
ADAMTS1	JAM2	9606.ENSP00000284984	9606.ENSP00000383376	0	0	0	0	0.055	0	0	0.511	0.518
ADAMTS10	LTBP4	9606.ENSP00000471851	9606.ENSP00000311905	0	0	0	0	0.072	0.046	0	0.414	0.435
ADAMTS10	MFAP4	9606.ENSP00000471851	9606.ENSP00000378957	0	0	0	0	0.070	0	0	0.398	0.416
ADAMTS5	GLI1	9606.ENSP00000284987	9606.ENSP00000228682	0	0	0	0	0.044	0	0	0.520	0.521
ADAMTS5	EPAS1	9606.ENSP00000284987	9606.ENSP00000263734	0	0	0	0	0.074	0	0	0.430	0.450
ADAMTS5	FGF2	9606.ENSP00000284987	9606.ENSP00000264498	0	0	0	0	0.094	0	0	0.380	0.415
ADAMTS5	IGF1	9606.ENSP00000284987	9606.ENSP00000376637	0	0	0	0	0.103	0	0	0.376	0.417
ADAMTS5	GAPDH	9606.ENSP00000284987	9606.ENSP00000380070	0	0	0	0	0	0	0	0.535	0.535
ADCY4	ARAP3	9606.ENSP00000312126	9606.ENSP00000239440	0	0	0	0	0.217	0	0	0.277	0.409
ADCY4	GNG11	9606.ENSP00000312126	9606.ENSP00000248564	0	0	0	0	0.110	0	0.650	0.277	0.755
ADCY4	CCM2L	9606.ENSP00000312126	9606.ENSP00000262659	0	0	0	0	0.384	0.050	0	0.077	0.412
ADCY4	KDR	9606.ENSP00000312126	9606.ENSP00000263923	0	0	0	0	0.141	0	0	0.331	0.401
ADCY4	ADRA2A	9606.ENSP00000312126	9606.ENSP00000280155	0	0	0	0	0.136	0	0.500	0.149	0.600
ADCY4	ADGRF5	9606.ENSP00000312126	9606.ENSP00000283296	0	0	0	0	0.422	0	0	0.090	0.452
ADCY4	ROBO4	9606.ENSP00000312126	9606.ENSP00000304945	0	0	0	0	0.453	0	0	0.088	0.480
ADCY4	S1PR1	9606.ENSP00000312126	9606.ENSP00000305416	0	0	0	0	0.184	0	0	0.411	0.500
ADCY4	PDE7B	9606.ENSP00000312126	9606.ENSP00000310661	0	0	0	0	0.074	0.126	0.670	0.194	0.756
ADCY4	PTPRB	9606.ENSP00000312126	9606.ENSP00000334928	0	0	0	0	0.344	0.073	0	0.110	0.412
ADCY4	MMRN2	9606.ENSP00000312126	9606.ENSP00000361097	0	0	0	0	0.415	0.091	0	0	0.445
ADCY4	CLDN5	9606.ENSP00000312126	9606.ENSP00000385477	0	0	0	0	0.431	0	0	0.077	0.453
ADCY4	CDH5	9606.ENSP00000312126	9606.ENSP00000497290	0	0	0	0	0.420	0	0	0.096	0.453
ADCY4	AVPR2	9606.ENSP00000312126	9606.ENSP00000496396	0	0	0	0	0.072	0	0.500	0.152	0.572
ADCY4	ENTPD1	9606.ENSP00000312126	9606.ENSP00000360250	0	0	0	0	0.152	0	0.650	0.076	0.702
ADCY4	PDE1A	9606.ENSP00000312126	9606.ENSP00000410309	0	0	0	0	0.056	0	0.650	0.201	0.713
ADCY4	PDE1C	9606.ENSP00000312126	9606.ENSP00000379496	0	0	0	0	0	0	0.650	0.219	0.715
ADCY4	GNG7	9606.ENSP00000312126	9606.ENSP00000371594	0	0	0	0	0.049	0	0.650	0.294	0.744
ADCY4	PDE3A	9606.ENSP00000312126	9606.ENSP00000351957	0	0	0	0	0.055	0.126	0.670	0.242	0.766
ADCY4	PDE2A	9606.ENSP00000312126	9606.ENSP00000334910	0	0	0	0	0.101	0.126	0.670	0.312	0.798
ADCY4	MOCS1	9606.ENSP00000312126	9606.ENSP00000344794	0	0	0	0	0.062	0	0.800	0.079	0.812
ADCY4	GNAL	9606.ENSP00000312126	9606.ENSP00000334051	0	0	0	0	0.059	0.409	0.900	0.343	0.958
ADCYAP1R1	GNG11	9606.ENSP00000483721	9606.ENSP00000248564	0	0	0	0	0	0.153	0.500	0	0.558
ADCYAP1R1	AQP1	9606.ENSP00000483721	9606.ENSP00000311165	0	0	0	0	0.098	0	0	0.367	0.405
ADCYAP1R1	GNAL	9606.ENSP00000483721	9606.ENSP00000334051	0	0	0	0	0.072	0.290	0	0.168	0.404
ADCYAP1R1	VIP	9606.ENSP00000483721	9606.ENSP00000356213	0	0	0	0	0.088	0.148	0.400	0.965	0.981
ADCYAP1R1	GNG7	9606.ENSP00000483721	9606.ENSP00000371594	0	0	0	0	0.086	0.153	0.500	0.467	0.766
ADCYAP1R1	KCNA1	9606.ENSP00000483721	9606.ENSP00000371985	0	0	0	0	0.166	0	0	0.387	0.466
ADCYAP1R1	LPAR4	9606.ENSP00000483721	9606.ENSP00000408205	0	0	0	0	0.060	0	0	0.401	0.413
ADCYAP1R1	SPARCL1	9606.ENSP00000483721	9606.ENSP00000414856	0	0	0	0	0.177	0	0	0.370	0.459
ADGRD1	GNAL	9606.ENSP00000444425	9606.ENSP00000334051	0	0	0	0	0.056	0.602	0	0.115	0.638
ADGRF5	PLVAP	9606.ENSP00000283296	9606.ENSP00000252590	0	0	0.206	0	0.171	0.045	0	0.160	0.401
ADGRF5	USHBP1	9606.ENSP00000283296	9606.ENSP00000252597	0	0	0.251	0	0.316	0	0	0.069	0.481
ADGRF5	RAMP2	9606.ENSP00000283296	9606.ENSP00000253796	0	0	0	0	0.351	0	0	0.581	0.716
ADGRF5	VWF	9606.ENSP00000283296	9606.ENSP00000261405	0	0	0	0	0.475	0	0	0.174	0.548
ADGRF5	CCM2L	9606.ENSP00000283296	9606.ENSP00000262659	0	0	0	0	0.331	0.045	0	0.174	0.426
ADGRF5	KDR	9606.ENSP00000283296	9606.ENSP00000263923	0	0	0	0	0.495	0	0	0.147	0.551
ADGRF5	ESAM	9606.ENSP00000283296	9606.ENSP00000278927	0	0	0	0	0.330	0	0	0.156	0.411
ADGRF5	SPARCL1	9606.ENSP00000283296	9606.ENSP00000414856	0	0	0	0	0.371	0	0	0.095	0.406
ADGRF5	SOX18	9606.ENSP00000283296	9606.ENSP00000341815	0	0	0	0	0.404	0	0	0.061	0.417
ADGRF5	TIE1	9606.ENSP00000283296	9606.ENSP00000361554	0	0	0	0	0.301	0	0	0.206	0.421
ADGRF5	AFAP1L1	9606.ENSP00000283296	9606.ENSP00000296721	0	0	0	0	0.431	0	0	0	0.431
ADGRF5	CYYR1	9606.ENSP00000283296	9606.ENSP00000299340	0	0	0	0	0.369	0	0	0.154	0.444
ADGRF5	TEK	9606.ENSP00000283296	9606.ENSP00000369375	0	0	0	0	0.424	0	0	0.135	0.480
ADGRF5	CLEC14A	9606.ENSP00000283296	9606.ENSP00000353013	0	0	0	0	0.295	0.045	0	0.302	0.489
ADGRF5	CLDN5	9606.ENSP00000283296	9606.ENSP00000385477	0	0	0	0	0.383	0	0	0.237	0.510
ADGRF5	ADGRL4	9606.ENSP00000283296	9606.ENSP00000359778	0	0	0	0.612	0.384	0	0	0.267	0.529
ADGRF5	ROBO4	9606.ENSP00000283296	9606.ENSP00000304945	0	0	0	0	0.463	0	0	0.228	0.568
ADGRF5	MMRN2	9606.ENSP00000283296	9606.ENSP00000361097	0	0	0	0	0.417	0.087	0	0.276	0.581
ADGRF5	EMCN	9606.ENSP00000283296	9606.ENSP00000296420	0	0	0	0	0.477	0	0	0.291	0.613
ADGRF5	CDH5	9606.ENSP00000283296	9606.ENSP00000497290	0	0	0	0	0.553	0	0	0.229	0.641
ADGRF5	PTPRB	9606.ENSP00000283296	9606.ENSP00000334928	0	0	0	0	0.637	0.087	0	0.113	0.681
ADGRL4	RASIP1	9606.ENSP00000359778	9606.ENSP00000222145	0	0	0	0	0.319	0	0	0.247	0.465
ADGRL4	DLL4	9606.ENSP00000359778	9606.ENSP00000249749	0	0	0	0	0.159	0.045	0	0.554	0.611
ADGRL4	CCM2L	9606.ENSP00000359778	9606.ENSP00000262659	0	0	0	0	0.404	0.045	0	0.078	0.430
ADGRL4	KDR	9606.ENSP00000359778	9606.ENSP00000263923	0	0	0	0	0.409	0	0	0.196	0.505
ADGRL4	ESAM	9606.ENSP00000359778	9606.ENSP00000278927	0	0	0	0	0.239	0	0	0.290	0.437
ADGRL4	EMCN	9606.ENSP00000359778	9606.ENSP00000296420	0	0	0	0	0.617	0	0	0.454	0.782
ADGRL4	ROBO4	9606.ENSP00000359778	9606.ENSP00000304945	0	0	0	0	0.329	0	0	0.277	0.494
ADGRL4	CLEC14A	9606.ENSP00000359778	9606.ENSP00000353013	0	0	0	0	0.384	0.045	0	0.343	0.580
ADGRL4	MYCT1	9606.ENSP00000359778	9606.ENSP00000356214	0	0	0	0	0.351	0	0	0.462	0.636
ADGRL4	TIE1	9606.ENSP00000359778	9606.ENSP00000361554	0	0	0	0	0.311	0	0	0.204	0.428
ADGRL4	CDH5	9606.ENSP00000359778	9606.ENSP00000497290	0	0	0	0	0.336	0	0	0.214	0.456
ADGRL4	ANKRD29	9606.ENSP00000359778	9606.ENSP00000468354	0	0	0	0	0.049	0.042	0	0.454	0.459
ADGRL4	MMRN2	9606.ENSP00000359778	9606.ENSP00000361097	0	0	0	0	0.277	0.042	0	0.289	0.465
ADGRL4	ECSCR	9606.ENSP00000359778	9606.ENSP00000479243	0	0	0	0	0.322	0	0	0.270	0.484
ADGRL4	TEK	9606.ENSP00000359778	9606.ENSP00000369375	0	0	0	0	0.441	0	0	0.157	0.509
ADGRL4	EDNRB	9606.ENSP00000359778	9606.ENSP00000366416	0	0	0	0	0.187	0	0	0.552	0.620
ADH1C	ALDH1A2	9606.ENSP00000426083	9606.ENSP00000249750	0.048	0.001	0	0	0.110	0	0.706	0.295	0.801
ADH1C	GSTM5	9606.ENSP00000426083	9606.ENSP00000256593	0	0	0	0	0.092	0.070	0.650	0.219	0.738
ADH1C	HPGDS	9606.ENSP00000426083	9606.ENSP00000295256	0	0	0	0	0.133	0.079	0.650	0.150	0.730
ADH1C	AOX1	9606.ENSP00000426083	9606.ENSP00000363832	0	0	0	0	0.104	0	0.900	0.304	0.932
ADH1C	SNCA	9606.ENSP00000426083	9606.ENSP00000500990	0	0	0	0	0	0	0	0.434	0.434
ADH1C	H6PD	9606.ENSP00000426083	9606.ENSP00000473348	0	0	0	0	0.086	0	0	0.435	0.461
ADRA2A	GNG11	9606.ENSP00000280155	9606.ENSP00000248564	0	0	0	0	0.043	0.120	0.500	0.106	0.573
ADRA2A	TRPC4	9606.ENSP00000280155	9606.ENSP00000486109	0	0	0	0	0.078	0.059	0	0.474	0.504
ADRA2A	TAC1	9606.ENSP00000280155	9606.ENSP00000321106	0	0	0	0	0.060	0	0	0.522	0.531
